"name","version","repository","summary"
"on-finished","2.4.1","(none)","MIT"
"on-headers","1.1.0","https://github.com/jshttp/on-headers","MIT"
"once","1.4.0","http://github.com/isaacs/once","ISC"
"parseurl","1.3.3","https://github.com/pillarjs/parseurl","MIT"
"path-is-absolute","1.0.1","https://github.com/sindresorhus/path-is-absolute","MIT"
"path-to-regexp","8.4.2","https://github.com/pillarjs/path-to-regexp","MIT"
"proxy-addr","2.0.8","https://github.com/jshttp/proxy-addr","MIT"
"qs","6.16.0","https://github.com/ljharb/qs","BSD-3-Clause"
"range-parser","1.2.1","https://github.com/jshttp/range-parser","MIT"
"raw-body","3.0.2","(none)","MIT"
"re-tree","0.1.7","https://github.com/srfrnk/re-tree","MIT"
"readable-stream","1.0.34","http://github.com/isaacs/readable-stream","MIT"
"regenerator-runtime","0.11.1","https://github.com/facebook/regenerator/tree/main/packages/runtime","MIT"
"require-from-string","2.0.2","https://github.com/floatdrop/require-from-string","MIT"
"reserved-words","0.1.2","https://github.com/zxqfox/reserved-words","MIT"
"router","2.2.0","https://github.com/pillarjs/router","MIT"
"safe-buffer","5.2.1","(none)","MIT"
"safer-buffer","2.1.2","https://github.com/ChALkeR/safer-buffer","MIT"
"send","1.2.1","(none)","MIT"
"serve-favicon","2.5.1","https://github.com/expressjs/serve-favicon","MIT"
"serve-static","2.2.1","(none)","MIT"
"setprototypeof","1.2.0","(none)","ISC"
"side-channel","1.1.1","https://github.com/ljharb/side-channel","MIT"
"side-channel-list","1.0.1","https://github.com/ljharb/side-channel-list","MIT"
"side-channel-map","1.0.1","https://github.com/ljharb/side-channel-map","MIT"
"side-channel-weakmap","1.0.2","https://github.com/ljharb/side-channel-weakmap","MIT"
"statuses","2.0.2","(none)","MIT"
"string_decoder","0.10.31","http://github.com/rvagg/string_decoder","MIT"
"through2","0.6.5","https://github.com/rvagg/through2","MIT"
"toidentifier","1.0.1","(none)","MIT"
"type-is","2.1.0","(none)","MIT"
"ua-device-detector","1.1.8","https://github.com/srfrnk/ua-device-detector","MIT"
"unpipe","1.0.0","https://github.com/stream-utils/unpipe","MIT"
"vary","1.1.2","https://github.com/jshttp/vary","MIT"
"wrappy","1.0.2","https://github.com/npm/wrappy","ISC"
"xtend","4.0.2","http://github.com/Raynos/xtend","MIT"
