key,path,line,usage
highPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,358,injection
unlimitedCachePoolExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,367,injection
unlimitedCachePoolExecutorService,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,369,injection
unlimitedCachePoolExecutorService,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,374,injection
toolbarInlayTemplate,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,383,injection
toolbarInlayMinJs,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,395,injection
toolbarInlayMinCss,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,407,injection
arpProbeCache,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,419,injection
http.server.aliases.map,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,426,injection
malware.filter.ipset,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,444,injection
malware.filter.ipset.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,446,injection
malware.filter.ipset.type,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,447,injection
malware.filter.ipset.family,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,448,injection
malware.filter.ipset.maxSize,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,449,injection
malware.filter.ip6set,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,454,injection
malware.filter.ip6set.name,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,456,injection
malware.filter.ip6set.type,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,457,injection
malware.filter.ip6set.family,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,458,injection
malware.filter.ip6set.maxSize,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,459,injection
nettyBossEventGroupLoop,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,491,injection
unlimitedCachePoolExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,492,injection
nettyWorkerEventGroupLoop,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,498,injection
unlimitedCachePoolExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/EblockerModule.java,499,injection
environment,eblocker-icapserver/src/main/java/org/eblocker/server/common/Environment.java,27,injection
jedis.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/JedisPoolProvider.java,36,injection
jedis.timeout,eblocker-icapserver/src/main/java/org/eblocker/server/common/JedisPoolProvider.java,37,injection
jedis.pool.max.total,eblocker-icapserver/src/main/java/org/eblocker/server/common/JedisPoolProvider.java,38,injection
jedis.pool.min.idle,eblocker-icapserver/src/main/java/org/eblocker/server/common/JedisPoolProvider.java,39,injection
jedis.pool.max.idle,eblocker-icapserver/src/main/java/org/eblocker/server/common/JedisPoolProvider.java,40,injection
systemKey,eblocker-icapserver/src/main/java/org/eblocker/server/common/ObjectMapperProvider.java,37,injection
highPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/PauseDeviceController.java,50,injection
unlimitedCachePoolExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/BlockedDomainLog.java,38,injection
domainblacklist.charset,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlacklistService.java,59,injection
domainblacklist.source.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlacklistService.java,60,injection
domainblacklist.cache.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlacklistService.java,61,injection
lowPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlacklistService.java,63,injection
domainblacklist.networkService.host,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlockingNetworkService.java,67,injection
domainblacklist.networkService.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlockingNetworkService.java,68,injection
nettyBossEventGroupLoop,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlockingNetworkService.java,69,injection
nettyWorkerEventGroupLoop,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlockingNetworkService.java,70,injection
DomainBlockingRequestHandler,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlockingNetworkService.java,71,injection
parentalControl.redirect.ip,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlockingService.java,108,injection
parentalControl.redirect.despite_disabled_ssl,eblocker-icapserver/src/main/java/org/eblocker/server/common/blacklist/DomainBlockingService.java,109,injection
blocker.localStorage.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/blocker/BlockerService.java,61,injection
lowPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/blocker/BlockerService.java,66,injection
domainRecorder.binLifetimeInSeconds,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/JedisDomainRecordingDataSource.java,50,injection
redis.backup.period,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/RedisBackupService.java,64,injection
redis.backup.max,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/RedisBackupService.java,65,injection
redis.backup.start.timeout,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/RedisBackupService.java,66,injection
redis.snapshot.directory,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/RedisBackupService.java,67,injection
lowPrioScheduledExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/RedisBackupService.java,69,injection
unlimitedCachePoolExecutor,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/events/DataSourceEventLogger.java,43,injection
events.maximum.number,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/events/JedisEventDataSource.java,44,injection
message.dailyNews.file,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/messagecenter/provider/DailyNewsMessageProvider.java,48,injection
message.filterlists.outdated.days,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/messagecenter/provider/FilterListsOutdatedMessageProvider.java,43,injection
license.expiration.warning.threshold.day,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/messagecenter/provider/LicenseExpirationMessageProvider.java,66,injection
license.expiration.warning.threshold.week,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/messagecenter/provider/LicenseExpirationMessageProvider.java,67,injection
project.version,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/messagecenter/provider/ReleaseNotesMessageProvider.java,63,injection
dns.warning.interval,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/messagecenter/provider/UnreliableDnsServerMessageProvider.java,56,injection
dns.server.enabled.file,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/migrations/SchemaMigrationVersion14.java,47,injection
appmodules.id.custom.min,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/migrations/SchemaMigrationVersion2.java,32,injection
openvpn.server.port,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/migrations/SchemaMigrationVersion29.java,30,injection
parentalControl.standardUser.translation,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/migrations/SchemaMigrationVersion38.java,36,injection
blocker.localStorage.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/migrations/SchemaMigrationVersion45.java,58,injection
parentalcontrol.filterlists.file.customercreated.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/migrations/SchemaMigrationVersion45.java,59,injection
filter.stats.domains.db.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/statistic/BlockedDomainsStatisticService.java,72,injection
filter.stats.domains.heap.size,eblocker-icapserver/src/main/java/org/eblocker/server/common/data/statistic/BlockedDomainsStatisticService.java,73,injection
malware.filter.urls.file.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/malware/MalwareFilterService.java,68,injection
malware.filter.ips.file.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/malware/MalwareFilterService.java,69,injection
malware.filter.ip6s.file.path,eblocker-icapserver/src/main/java/org/eblocker/server/common/malware/MalwareFilterService.java,70,injection
malware.filter.ipset,eblocker-icapserver/src/main/java/org/eblocker/server/common/malware/MalwareFilterService.java,71,injection
malware.filter.ip6set,eblocker-icapserver/src/main/java/org/eblocker/server/common/malware/MalwareFilterService.java,72,injection
arpProbeCache,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ArpListener.java,57,injection
arp.spoof.healing.packets,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ArpSpoofer.java,53,injection
arp.spoof.online.threshold,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ArpSpoofer.java,54,injection
arp.spoof.suspend.period,eblocker-icapserver/src/main/java/org/eblocker/server/common/network/ArpSpoofer.java,55,injection
